Iterating over heap. This may take a while...
Object Histogram:

num       #instances    #bytes  Class description
--------------------------------------------------------------------------
434:            83      2656    sun.security.x509.SubjectKeyIdentifierExtension
435:            55      2640    sun.net.www.MimeEntry
436:            162     2592    sun.reflect.DelegatingMethodAccessorImpl
437:            108     2592    com.sun.org.apache.xerces.internal.util.XMLStringBuffer
438:            64      2560    java.beans.GenericBeanInfo
439:            135     2536    com.sun.jmx.mbeanserver.MXBeanMapping[]
440:            67      2440    java.security.ProtectionDomain[]
441:            76      2432    java.util.zip.ZipCoder
442:            76      2432    sun.security.x509.KeyUsageExtension
443:            75      2400    java.io.File
444:            99      2376    com.sun.org.apache.xerces.internal.xni.XMLString
445:            98      2352    java.lang.StringBuffer
446:            48      2304    com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
447:            32      2304    org.apache.catalina.webresources.JarResourceSet
448:            24      2304    com.sun.org.apache.xerces.internal.xni.QName[]
449:            96      2304    org.jsoup.select.Elements
450:            96      2304    java.lang.invoke.LambdaForm$NamedFunction
451:            95      2280    sun.security.util.BitArray
452:            95      2280    sun.security.x509.CertificateValidity
453:            95      2280    sun.security.util.Cache$EqualByteArray
454:            124     2256    sun.reflect.generics.tree.TypeSignature[]
455:            139     2224    java.security.Principal[]
456:            139     2224    java.security.ProtectionDomain$Key
457:            46      2208    sun.util.locale.LocaleObjectCache$CacheEntry
458:            68      2176    sun.reflect.generics.repository.ClassRepository
459:            68      2176    com.mysql.jdbc.VersionedStringProperty
460:            68      2176    java.lang.invoke.DirectMethodHandle
461:            45      2160    java.nio.HeapByteBuffer
462:            90      2160    java.util.regex.Pattern$Single
463:            67      2144    sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
464:            89      2136    java.util.regex.Pattern$Slice
465:            89      2136    java.util.regex.Pattern$GroupTail
466:            88      2112    java.util.regex.Pattern$GroupHead
467:            88      2112    org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
468:            44      2112    sun.misc.URLClassPath$JarLoader
469:            37      2072    java.util.regex.Pattern$GroupHead[]
470:            86      2064    sun.security.x509.CertificateExtensions
471:            1       2064    com.alibaba.fastjson.parser.SymbolTable$Entry[]
472:            64      2048    java.util.regex.Pattern$Curly
473:            51      2040    org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$Life
cycleMetadata
474:            84      2016    java.util.concurrent.ConcurrentLinkedQueue
475:            84      2016    java.security.Provider$UString
476:            49      1960    org.jsoup.nodes.Document$OutputSettings
477:            61      1952    java.util.regex.Pattern$Branch
478:            48      1920    ch.qos.logback.core.joran.event.StartEvent
479:            47      1880    sun.misc.FloatingDecimal$BinaryToASCIIBuffer
480:            46      1840    sun.security.ec.NamedCurve
481:            115     1840    sun.security.x509.KeyIdentifier
482:            76      1824    java.util.ArrayDeque
